id,userId,content,media,topics,visibility,createdAt
a8262d60-da40-40c2-bc90-7832a84c32e6,2f6504df-05f2-41fb-b18f-385c3934fe6a,"Team đang tuyển thêm người đam mê edge computing để scaling sản phẩm, ai hứng thú ib nhé! #edgecomputing #scala #machinelearning",,edge computing|scala|machine learning|smart city,public,2025-04-05T08:05:30.753Z
05453a50-adcb-425b-9405-bc54f01a6bf5,2f6504df-05f2-41fb-b18f-385c3934fe6a,Tổng hợp vài tài liệu hay về edge computing mà mình đã đọc gần đây. #edgecomputing #mobiledevelopment,,edge computing|mobile development,public,2025-09-07T06:10:05.391Z
86d13352-5ea9-4e4e-b2da-b912f8f9c010,1a1d34b6-b571-4cdc-9240-698ac7b44b99,"Tối nay có buổi thảo luận về blockchain tại Đà Nẵng, ai rảnh join cùng mình nhen! #blockchain #nosql",,blockchain|nosql,public,2024-03-25T20:53:22.116Z
7d4518a5-02ef-4a01-9ab1-2511539ec912,1a1d34b6-b571-4cdc-9240-698ac7b44b99,Tổng hợp vài tài liệu hay về blockchain mà mình đã đọc gần đây. #blockchain #genai #promptengineering,,blockchain|gen ai|prompt engineering|microservices,friends,2024-01-24T19:03:59.841Z
caf38423-8ebb-4a10-9a37-e037608d8dc2,e455faa0-ffc4-416d-be3a-ecce11595903,"Đang tối ưu hệ thống edge computing tại MBBank, kết quả đầu tiên khá khả quan. #edgecomputing #cybersecurity",,edge computing|cybersecurity,connections,2025-03-20T03:47:52.632Z
fba4ef70-1090-4c47-86a8-c68d6fa87556,e455faa0-ffc4-416d-be3a-ecce11595903,"Chia sẻ chút kinh nghiệm triển khai pipeline graph databases quy mô lớn, anh em ai quan tâm thì hỏi nhé. #graphdatabases #blockchain #productdesign",,graph databases|blockchain|product design,friends,2025-07-07T16:27:48.873Z
34d9437f-87aa-4029-bab7-2618afb123eb,e455faa0-ffc4-416d-be3a-ecce11595903,Một chút suy nghĩ về cách ứng dụng edge computing vào lĩnh vực ngân hàng. #edgecomputing #smartcity #dataprivacy,,edge computing|smart city|data privacy,connections,2025-04-16T07:11:32.199Z
b2b4a995-5460-40c5-ae56-9d4af0f0a69c,e455faa0-ffc4-416d-be3a-ecce11595903,"Triển khai xong dashboard realtime cho graph databases, nhìn metrics chạy sướng mắt. #graphdatabases #fintech",,graph databases|fintech,friends,2025-07-14T23:00:56.119Z
fd53c42f-54a4-491b-ba0a-becbdd228a93,e455faa0-ffc4-416d-be3a-ecce11595903,"Vừa hoàn thiện bản demo edge computing cho đội dự án, học thêm được khối kiến thức mới! #edgecomputing #computervision #datawarehousing",https://source.unsplash.com/960x540/?research&sig=e455faa0ff4,edge computing|computer vision|data warehousing|data engineering,connections,2025-03-08T03:59:27.981Z
391b8cfa-d635-47c8-8259-de720afe4223,beb632d0-c0e0-4896-91d9-8a9fbb204a0b,Tổng hợp vài tài liệu hay về nosql mà mình đã đọc gần đây. #nosql #reinforcementlearning #cybersecurity,,nosql|reinforcement learning|cybersecurity|healthtech,friends,2025-09-03T17:50:10.668Z
e9ebc69d-9f75-4812-8de5-826a8b3175d4,beb632d0-c0e0-4896-91d9-8a9fbb204a0b,"Đang tối ưu hệ thống nosql tại VNG, kết quả đầu tiên khá khả quan. #nosql #datavisualization",,nosql|data visualization,friends,2025-09-08T05:21:38.711Z
273dbf69-3264-4b63-bceb-3049e190eeb6,beb632d0-c0e0-4896-91d9-8a9fbb204a0b,Tổng hợp vài tài liệu hay về mobile development mà mình đã đọc gần đây. #mobiledevelopment #golang,https://source.unsplash.com/960x540/?coding&sig=beb632d0c02,mobile development|golang,public,2025-10-18T05:31:43.299Z
b5eb28b7-d30c-4411-8aab-1fe4bced500f,beb632d0-c0e0-4896-91d9-8a9fbb204a0b,Một chút suy nghĩ về cách ứng dụng computer vision vào lĩnh vực chăm sóc sức khỏe. #computervision #edgecomputing #naturallanguageprocessing,,computer vision|edge computing|natural language processing,public,2025-10-25T11:32:58.417Z
d80b9518-e940-48ac-b10b-779b119e4904,beb632d0-c0e0-4896-91d9-8a9fbb204a0b,"Triển khai xong dashboard realtime cho gcp, nhìn metrics chạy sướng mắt. #gcp #spark",,gcp|spark,connections,2025-10-15T02:04:45.866Z
94ce18d1-7338-45d8-9878-c5a37597f490,beb632d0-c0e0-4896-91d9-8a9fbb204a0b,"Đang tối ưu hệ thống machine learning tại VNG, kết quả đầu tiên khá khả quan. #machinelearning #realtimeanalytics #microservices",https://source.unsplash.com/960x540/?startup&sig=beb632d0c05,machine learning|real-time analytics|microservices|product design,friends,2025-09-24T23:18:51.520Z
aa0426fe-b213-40a4-a316-75a5a2738a3f,3996b571-1a84-4e0a-895b-5bcc8020dc2e,"Chia sẻ chút kinh nghiệm triển khai pipeline prompt engineering quy mô lớn, anh em ai quan tâm thì hỏi nhé. #promptengineering #neo4j",,prompt engineering|neo4j,friends,2025-10-22T22:53:20.186Z
01e99fc2-b8fc-4e48-aac3-8f0a9b8a7185,3996b571-1a84-4e0a-895b-5bcc8020dc2e,"Team đang tuyển thêm người đam mê cloud computing để scaling sản phẩm, ai hứng thú ib nhé! #cloudcomputing #genai #healthtech",https://source.unsplash.com/960x540/?network&sig=3996b5711a1,cloud computing|gen ai|healthtech|deep learning,friends,2024-12-19T11:51:56.509Z
2f0580a1-6e37-4893-b6fd-3619991473c9,8f462bb7-e1a0-4f8d-8c7b-682537facfb1,"Triển khai xong dashboard realtime cho data engineering, nhìn metrics chạy sướng mắt. #dataengineering #recommendationsystems",,data engineering|recommendation systems,friends,2025-05-23T04:05:05.455Z
6eb942bc-663f-431c-8b37-fdc57b1dfedb,8f462bb7-e1a0-4f8d-8c7b-682537facfb1,"Vừa hoàn thiện bản demo data engineering cho đội dự án, học thêm được khối kiến thức mới! #dataengineering #gcp #golang",,data engineering|gcp|golang|data privacy,friends,2025-06-29T00:52:38.829Z
1b06b04d-67ab-4937-ad78-73684d2b1cdb,8f462bb7-e1a0-4f8d-8c7b-682537facfb1,"Tối nay có buổi thảo luận về gen ai tại Buôn Ma Thuột, ai rảnh join cùng mình nhen! #genai #machinelearning #azure",,gen ai|machine learning|azure|natural language processing,friends,2025-09-11T18:40:28.408Z
b26b9dc8-e226-4551-b70f-9b8524854c1a,a4eb761f-c387-40bd-bcda-a223c36f3029,"Viết xong blog nhỏ về recommendation systems, hy vọng giúp ích cho cộng đồng. #recommendationsystems #smartcity",,recommendation systems|smart city,friends,2023-11-05T09:17:50.009Z
f4c6f6e1-0760-4381-83d1-3d69245ed7b5,a4eb761f-c387-40bd-bcda-a223c36f3029,"Viết xong blog nhỏ về data warehousing, hy vọng giúp ích cho cộng đồng. #datawarehousing #deeplearning",,data warehousing|deep learning,friends,2024-12-26T12:59:54.310Z
e3e9a917-4e42-4aa4-9c7e-35ce55db879e,a4eb761f-c387-40bd-bcda-a223c36f3029,Tổng hợp vài tài liệu hay về blockchain mà mình đã đọc gần đây. #blockchain #python #reinforcementlearning,,blockchain|python|reinforcement learning,connections,2024-01-22T17:11:16.029Z
f14f9b40-a807-47c6-a821-223c697f1734,a4eb761f-c387-40bd-bcda-a223c36f3029,"Thử nghiệm mô hình data warehousing với bộ dữ liệu hơn 5TB, kết quả vượt kỳ vọng. #datawarehousing #microservices #scala",,data warehousing|microservices|scala|data governance,connections,2025-02-12T11:18:39.260Z
31e91771-6dee-4ab2-a5c1-f85537fb779f,403306ac-beb2-4d9b-91af-662a4cee1777,"Đang tối ưu hệ thống graph databases tại TikiNgon, kết quả đầu tiên khá khả quan. #graphdatabases #machinelearning #recommendationsystems",,graph databases|machine learning|recommendation systems|computer vision,connections,2025-03-23T02:10:35.417Z
