id,senderId,targetId,message,createdAt
df0d7066-dc58-48ac-877b-c6f278811aa8,7937962d-9ccd-47ff-a4c6-be0c4c609ee4,4fdcfff0-6000-4a16-a9bf-889f7ad6b5b9,Mình có vài câu hỏi về machine learning. Kết bạn để tiện trao đổi nha.,2024-04-20T09:13:08.725Z
a9520d91-d0f6-4b04-be79-c3bedac5e1f4,6daf5a05-cc32-4540-ae6c-0b84c7639b0b,12d830d0-1ef5-4d05-9c1f-703692dfaec9,Cùng tham gia cộng đồng cloud computing cho vui nhé! Kết nối thôi!,2025-05-07T15:44:36.506Z
90582d59-b91d-48fd-bead-e9d1b2872a8b,c7b575b7-d33b-4e50-9f02-58accd85c90d,b0c4bb81-6f72-4dbe-8143-4bc08ce3c928,Mình đang xây dựng dự án data warehousing. Hy vọng được kết nối cùng bạn.,2024-12-09T10:52:56.386Z
0625a314-1e5b-4df4-8e16-d21dde62bfc3,5ed07e96-b849-4ca2-bd93-13df2acbd39d,da560e28-bc74-47cd-9ff5-b298f57cf3ef,Cùng tham gia cộng đồng python cho vui nhé! Kết nối thôi!,2025-10-14T02:01:50.762Z
6da69169-a85b-4667-b38a-48ad16d9ca0b,bd167bb4-eccf-4932-92c8-ebc8b083e07b,df945afd-36c6-4744-b8fd-42ae2f26a754,Thấy bạn chia sẻ nhiều về blockchain. Mình rất muốn kết nối để học hỏi thêm.,2025-10-10T18:17:42.661Z
538860ea-9e2b-49a1-a006-9ed3a1326a74,37d25ebb-899a-418c-9f12-ddee1b265d74,7d531e41-04f5-4ce6-bcd7-e9e9f707b9df,"Hello, bạn có hứng thú với python không? Mình muốn mở rộng network.",2025-09-21T15:27:07.006Z
2237e52c-7c04-4a6f-9ad8-2b83f8fc96c3,b07a13d4-038c-4a68-b437-4468186296b8,13ddd5ea-cef2-416b-a69b-0765a7bb3290,Mình đang xây dựng dự án data warehousing. Hy vọng được kết nối cùng bạn.,2025-02-16T23:41:10.315Z
0a3c2aaf-903a-4ff4-9369-185319fc9203,e95c1822-e867-4c6d-8cf8-cf270fc0cf51,1bb35b61-49b2-4fd7-8d43-3c766a1fcc9f,Mình có vài câu hỏi về data privacy. Kết bạn để tiện trao đổi nha.,2024-11-11T17:56:39.834Z
9c8c66f9-393e-4a36-9ba5-f944fdcef8b0,8c70d852-1a35-42a1-8631-971aa4e4a498,803b0360-4929-4438-83a1-3a844c17c18f,Mình đang xây dựng dự án recommendation systems. Hy vọng được kết nối cùng bạn.,2025-06-11T12:09:57.839Z
5f94f811-c975-40de-8739-96ea58590e89,2b95c668-6871-451e-a5bc-b0c72820c06f,bd59ffa2-b743-4056-83a2-95a3bad3da83,"Hello, bạn có hứng thú với llmops không? Mình muốn mở rộng network.",2025-05-28T14:52:44.823Z
ff5a3742-0285-4ebf-a0db-c9bae863e819,045891f9-11dc-4579-a8ce-b9ae959f25f3,9fb3dd18-5905-44ba-b009-1297d019b365,Mình đang xây dựng dự án data visualization. Hy vọng được kết nối cùng bạn.,2025-09-11T22:47:58.411Z
59cdc906-2a6e-4d5f-b77a-6d40e589e542,e6589cdb-1f3c-4e75-b2ed-2979d6d0e468,282e4c36-8b7b-45fe-84fb-58165caf5479,Cùng tham gia cộng đồng edge computing cho vui nhé! Kết nối thôi!,2024-06-15T14:46:12.872Z
499ee901-5d7c-40a7-8e43-889700bdfc0d,5f51b74f-db2d-434c-a378-94244c6c88bd,d88a8a50-7c72-49e6-9573-597d5888ce87,"Hello, bạn có hứng thú với hadoop không? Mình muốn mở rộng network.",2025-04-24T07:52:57.956Z
c832f5b4-2ea7-4205-85e7-9ebe7057972e,05e89264-f43c-4bd4-9bdf-8436befb1918,b8bbba1c-9e41-4738-9b02-f7b00c8d40cf,Mình đang xây dựng dự án computer vision. Hy vọng được kết nối cùng bạn.,2025-09-28T22:50:57.124Z
b648b4f1-6313-4c21-9b78-fe8a8a941078,ebd05fd8-d2c3-4759-9ca3-ee20beca5dc0,1c59cd94-9ed9-4aff-a8d7-1d266a070c4b,Mình đang xây dựng dự án data engineering. Hy vọng được kết nối cùng bạn.,2025-06-20T11:16:48.090Z
ae3584ca-7cee-4e00-8dad-02530a4317fd,fc503282-705a-4b22-b5b4-d3d6b2e597ae,9a86ad34-2092-42de-885c-8d0fd95ddb41,"Hello, bạn có hứng thú với natural language processing không? Mình muốn mở rộng network.",2025-10-05T01:19:36.675Z
6fcd8b0c-f087-4e62-a10d-9f7ec6ff5abc,435731c8-8999-489a-a3aa-a5c7aa5b770e,807a8c51-3b46-4e4b-94ad-9b720a0d4c58,"Chào bạn, mình cũng đang nghiên cứu smart city. Kết nối trao đổi nha!",2025-08-20T12:53:00.062Z
7d369ee9-5010-435f-a97e-c25326f7571b,7937962d-9ccd-47ff-a4c6-be0c4c609ee4,63664d3d-cd95-475d-a55f-6aaeb7ca4e21,Mình có vài câu hỏi về deep learning. Kết bạn để tiện trao đổi nha.,2025-09-30T16:39:33.882Z
139d010a-7e5f-40ae-a0e3-f323028a330e,812d3da2-aeeb-4641-928c-2c57c9affc1b,f9728228-5d0c-471b-93c7-f66a23aee02a,Cùng tham gia cộng đồng data engineering cho vui nhé! Kết nối thôi!,2025-09-02T03:03:05.814Z
e6ee7443-ea58-4645-9057-8e458d2661ff,9f30dee2-9fb0-472b-82b5-5a90d8602529,76343d1e-c9fc-45f0-a217-e0c658002986,Cùng tham gia cộng đồng real-time analytics cho vui nhé! Kết nối thôi!,2025-09-28T22:20:14.530Z
81911c48-3f8e-453b-b2ad-d7f82814fc0e,3cb4f40f-b1d4-4b35-836b-6b6de70f6e78,5931381c-f4a4-4411-8233-9e1338f3ad73,Cùng tham gia cộng đồng scala cho vui nhé! Kết nối thôi!,2025-09-28T21:47:57.842Z
c7e204ea-0c68-4a5d-899a-e75887667855,9aee4c03-36ac-408a-9087-ed9a4bb10ab9,007beaf9-4683-4148-8b3e-bdc866f720b5,Thấy bạn chia sẻ nhiều về healthtech. Mình rất muốn kết nối để học hỏi thêm.,2025-07-23T20:17:17.800Z
